from,to,type
arrow,protrudes,1
protrudes,back,1
back,absent,1
absent,lightning,2
violet,IF,1
IF,pin,1
pin,snow,1
snow,stubborn,1
stubborn,face,1
face,moistened,2
earth,ascending,1
ascending,face,1
face,closed,1
closed,arrow,1
arrow,dusts,2
moon,moistened,1
moistened,earth,1
earth,profile,1
profile,broken,1
broken,cloud,1
cloud,mirror,1
mirror,fresh,2
valves,night,1
night,irate,1
irate,limit,1
limit,shells,1
shells,prison,1
prison,thirst,1
thirst,protrude,1
protrude,arms,1
arms,NEG,1
NEG,asking,1
asking,corals,1
corals,stripes,1
stripes,bees,1
bees,confused,1
confused,secrets,1
secrets,awake,1
awake,remembering,1
remembering,curved,1
curved,arms,1
arms,encrusting,1
encrusting,forehead,1
