from,to,type
torches,as,1
as,fishes,1
fishes,thin,1
thin,boy,1
boy,works,1
works,night,1
night,sky,1
sky,bow,1
bow,basket,1
basket,ignited,1
ignited,serpents,1
serpents,icicle,1
icicle,sighthound,1
sighthound,purple,2
feather,NEG,1
NEG,wet,1
wet,fish,1
fish,gazing,1
gazing,me,1
me,sepulchre,1
sepulchre,equestrian,2
pheasants,NEG,1
NEG,warn,1
warn,hand,1
hand,echo,1
echo,unfolded,1
unfolded,pulse,1
pulse,fingers,2
immobile,calendar,1
calendar,tedium,1
tedium,unibrowed,1
unibrowed,throne,1
throne,slowly,2
wave,formed,1
formed,marmoreal,1
marmoreal,cavity,1
cavity,gazes,1
gazes,backs,1
backs,never,1
never,ask,1
ask,me,1
me,venom,1
venom,never,1
never,perverted,1
perverted,shield,1
shield,NEG,1
NEG,colts,1
colts,NEG,1
NEG,pheasants,1
