from,to,type
snow,sistrums,1
sistrums,NEG,1
NEG,penetrate,1
penetrate,argues,1
argues,leaves,1
leaves,uncurving,1
uncurving,destroys,1
destroys,glass,1
glass,ear,1
ear,white,1
white,nests,1
nests,center,1
center,now,1
now,burn,1
burn,tepid,1
tepid,corals,1
corals,escaped,1
escaped,doncels,1
doncels,deer,1
deer,tedium,1
tedium,rosed,1
rosed,forests,1
forests,transform,2
IF,coral,1
coral,doncel,1
doncel,curl,1
curl,voices,1
voices,snow,1
snow,paths,1
paths,sonorous,1
sonorous,body,1
body,rocks,1
rocks,pines,1
pines,slim,1
slim,nodding,1
nodding,yet,2
forceful,pine,1
pine,now,1
now,column,1
column,smoke,1
smoke,so,1
so,watery,1
watery,canary,1
canary,needle,1
needle,jet,1
jet,uncurled,1
uncurled,wind,1
