from,to,type
light,frond,1
frond,tips,1
tips,ascension,1
ascension,assumed,1
assumed,Q,2
NEG,corinthian,1
corinthian,curve,1
curve,betrayal,1
betrayal,crystallized,1
crystallized,mirabelles,1
mirabelles,mirror,1
mirror,reunites,1
reunites,sails,1
sails,blind,1
blind,exile,1
exile,now,2
falls,only,1
only,bird,1
bird,hand,1
hand,prison,1
prison,moves,1
moves,sunken,1
sunken,gods,1
gods,between,1
between,stone,1
stone,carbuncle,1
carbuncle,damsel,1
damsel,IF,2
absence,asks,1
asks,fainted,1
fainted,snow,1
snow,forms,1
forms,feather,1
feather,NEG,1
NEG,circles,1
circles,octopess,1
octopess,abandons,1
abandons,submerged,1
