from,to,type
drowned,ribbons,1
ribbons,mute,1
mute,lip,1
lip,offer,1
offer,oriental,2
baskets,sift,1
sift,water,1
water,moon,1
moon,most,2
slept,rush,1
rush,most,1
most,buried,1
buried,feather,1
feather,scream,1
scream,masked,1
masked,whistle,1
whistle,between,1
between,foreheads,1
foreheads,hooks,1
hooks,stretched,2
marble,river,1
river,recurves,1
recurves,traps,1
traps,destroyed,1
destroyed,lips,1
lips,but,1
but,blind,1
blind,NEG,1
NEG,oscillate,1
oscillate,spirals,2
heroic,tenors,1
tenors,fall,1
fall,breast,1
breast,dove,1
dove,agitate,1
agitate,gleaming,1
gleaming,arrows,1
arrows,cloak,1
cloak,night,1
