from,to,type
danaë,weaves,1
weaves,time,1
time,gilded,1
gilded,nile,1
nile,wrapping,1
wrapping,lips,1
lips,passed,1
passed,between,1
between,lips,1
lips,disconnected,1
disconnected,flights,1
flights,hand,2
lip,bird,1
bird,snowed,1
snowed,circle,2
snow,opened,1
opened,hand,2
blood,silk,1
silk,erased,1
erased,perfection,1
perfection,dies,1
dies,knees,1
knees,zeal,1
zeal,hides,1
hides,frolics,1
from,to,type
danaë,weaves,1
weaves,time,1
time,gilded,1
gilded,nile,1
nile,wrapping,1
wrapping,lips,1
lips,passed,1
passed,between,1
between,lips,1
lips,disconnected,1
disconnected,flights,1
flights,hand,2
hand,lip,1
lip,bird,1
bird,snowed,1
snowed,circle,2
circle,snow,1
snow,opened,1
opened,hand,2
hand,blood,1
blood,silk,1
silk,erased,1
erased,perfection,1
perfection,dies,1
dies,knees,1
knees,zeal,1
zeal,hides,1
hides,frolics,1
from,to,type
danaë,weaves,1
weaves,time,1
time,gilded,1
gilded,nile,1
nile,wrapping,1
wrapping,lips,1
lips,passed,1
passed,between,1
between,lips,1
lips,disconnected,1
disconnected,flights,1
flights,hand,2
hand,lip,1
lip,bird,1
bird,snowed,1
snowed,circle,2
circle,snow,1
snow,opened,1
opened,hand,2
hand,blood,1
blood,silk,1
silk,erased,1
erased,perfection,1
perfection,dies,1
dies,knees,1
knees,zeal,1
zeal,hides,1
hides,frolics,1
