from,to,type
shriek,fruited,1
fruited,snow,1
snow,secret,1
secret,geranium,1
geranium,transformed,1
transformed,whiteness,2
silk,ascending,1
ascending,spilled,1
spilled,lip,1
lip,opens,1
opens,amnesia,1
amnesia,islands,1
islands,sword,1
sword,eyelashes,1
eyelashes,come,1
come,give+way,1
give+way,sleep,1
sleep,yield,1
yield,mirror,1
mirror,littoral,1
littoral,impure,1
impure,earth,1
earth,stone,1
stone,moist,2
lips,NEG,1
NEG,shell,1
shell,looks,1
looks,uncurving,1
uncurving,thread,1
thread,slaves,1
slaves,profile,1
profile,dry,1
dry,velamen,1
velamen,air,1
air,bites,1
bites,litmus,1
litmus,changes,1
changes,sound,1
sound,golden,1
golden,litmus,1
litmus,salty,1
salty,lime,1
lime,looks,1
looks,golden,1
golden,mirror,1
mirror,death,1
death,shell,1
shell,sound,1
sound,IF,2
crosses,mirror,1
mirror,waters,1
waters,agitate,1
agitate,ear,1
ear,boil,1
boil,IF,2
sits,fringe,1
fringe,forehead,1
forehead,centurion,1
centurion,pulses,1
pulses,side,1
side,IF,2
declaims,letters,1
letters,dream,1
dream,penetrate,1
penetrate,gaze,1
gaze,wrinkle,1
wrinkle,wave,2
air,wraps,1
wraps,albino,1
albino,secret,1
secret,harpooned,1
harpooned,skin,1
skin,colored,1
colored,mirror,1
mirror,shadow,1
shadow,memory,1
memory,minute,1
minute,silence,1
silence,now,2
pierces,whiteness,1
whiteness,uncurving,1
uncurving,endless,1
endless,dry,1
dry,flames,1
flames,drizzled,1
drizzled,leaves,1
leaves,stream,2
uncreated,bees,1
bees,bite,1
bite,wake,1
wake,ask,1
ask,flank,1
flank,mirror,2
verified,speechless,1
speechless,narcissus,1
narcissus,high,1
high,tide,1
tide,fled,1
fled,wingless,1
