from,to,type
as,spilled,1
spilled,absence,1
absence,arrow,1
arrow,isolates,1
isolates,as,1
as,strawberry,1
strawberry,breathes,1
breathes,spinning,1
spinning,crystal,1
crystal,autumn,1
autumn,lip,1
lip,dies,1
dies,hail,1
hail,soft,1
soft,mirror,1
mirror,destroys,1
destroys,gaze,1
gaze,binds,1
binds,him,1
him,him,1
him,lies,1
lies,feather,1
feather,lips,1
lips,labyrinth,1
labyrinth,praise,1
praise,run,1
run,him,1
him,joined,1
joined,fountain,1
fountain,moistens,1
moistens,dream,1
dream,absence,2
mirror,now,1
now,locks,1
locks,beach,1
beach,extend,1
extend,isolated,1
isolated,lock,1
lock,asks,1
asks,frolics,1
