from,to,type
body,sound,1
sound,swarm,1
swarm,mute,1
mute,pines,1
pines,clamor,1
clamor,waking,1
waking,breaking,1
breaking,waves,1
waves,smooth,1
smooth,blazes,1
blazes,sessile,1
sessile,flights,1
flights,guided,1
guided,dove,1
dove,shrieks,1
shrieks,eyes,1
eyes,carnation,1
carnation,forehead-mirror,1
forehead-mirror,waves,1
waves,NEG,1
NEG,memories,1
memories,come,2
reuniting,eyes,1
eyes,spinning,1
spinning,carnation,1
carnation,NEG,1
NEG,forever,1
forever,burnt,1
burnt,abyss,1
abyss,alquitared,1
alquitared,snow,1
snow,groaning,1
groaning,bolstered,1
bolstered,sky,1
sky,steeds,2
IF,snows,1
snows,IF,1
IF,pays,1
pays,guided,1
guided,gazes,1
gazes,distilled,1
distilled,plea,1
plea,more,1
more,firm,1
firm,recurve,1
recurve,first,1
first,muteness,1
muteness,already,1
already,sky,1
