from,to,type
narcissus,narcissus,1
narcissus,antlers,2
murdered,deer,1
deer,fish,1
fish,flames,1
flames,flutes,1
flutes,nibbled,1
nibbled,fingers,1
fingers,narcissus,2
narcissus,hairs,2
guiding,florentines,1
florentines,crawl,1
crawl,profiles,1
profiles,lips,1
lips,routes,1
routes,sad,1
sad,flames,1
flames,waves,1
waves,biting,1
biting,hips,1
hips,fish,2
cold,green,1
green,air,1
air,mirror,1
mirror,stripes,1
stripes,posy,1
posy,doves,1
doves,hidden,1
hidden,dead,1
dead,throat,1
throat,daughter,1
daughter,arrow,1
arrow,swans,1
swans,heron,2
digresses,shell,1
shell,wave,1
wave,cloud,1
cloud,carelessness,1
carelessness,spray,1
spray,hung,1
hung,eyes,1
eyes,marmoreal,1
marmoreal,drop,1
drop,sweet,1
sweet,plinth,1
plinth,NEG,1
NEG,offering,1
