from,to,type
sadly,traverses,1
traverses,curve,1
curve,tightened,1
tightened,ash-grey,1
ash-grey,heron,1
heron,space,1
space,hands,1
hands,dislodge,1
dislodge,absent,1
absent,timbre,1
timbre,ardent,1
ardent,saffron,1
saffron,tender,1
tender,redoubles,1
redoubles,extremes,1
extremes,summoned,2
summoned,sleeping,1
sleeping,agitate,1
agitate,wrinkle,1
wrinkle,wave,1
wave,beating,1
beating,slept,1
slept,chess,1
chess,untombed,1
untombed,tiara,1
tiara,unsepulchred,2
unsepulchred,soft,1
soft,wood,1
wood,frigid,1
frigid,beak,1
beak,boiling,1
boiling,swan,1
swan,relucent,2
relucent,pier,1
pier,false,2
false,diamonds,1
diamonds,changeful,2
changeful,feather,1
feather,terse,2
terse,atlas,1
atlas,shrieked,2
shrieked,greens,1
greens,wave,2
wave,play,1
play,soft,1
soft,death,1
death,lightning,1
lightning,veins,1
wrinkle,wave,4
wrinkle,wood,4
wrinkle,swan,4
wave,wood,4
wave,swan,4
wood,swan,4


