from,to,type
Narcissus,Narcissus,1
Narcissus,antlers,2
antlers,murdered,1
murdered,deer,1
deer,fish,1
fish,flames,1
flames,flutes,1
flutes,nibbled,1
nibbled,fingers,1
fingers,Narcissus,2
Narcissus,Narcissus,1
Narcissus,hairs,2
hairs,guiding,1
guiding,florentines,1
florentines,crawl,1
crawl,profiles,1
profiles,lip,1
lip,routes,1
routes,sad,1
sad,flames,1
flames,wave,1
wave,biting,1
biting,hips,1
hips,fish,2
fish,cold,1
cold,green,1
green,air,1
air,mirror,1
mirror,NEG,1
NEG,stripes,1
stripes,posy,1
posy,doves,1
doves,hidden,1
hidden,death,1
death,throat,1
throat,daughter,1
daughter,arrow,1
arrow,swans,1
swans,heron,2
heron,digresses,1
digresses,shell,1
shell,wave,1
wave,cloud,1
cloud,carelessness,1
carelessness,spray,1
spray,hung,1
hung,eyes,1
eyes,marmoreal,1
marmoreal,drop,1
drop,sweet,1
sweet,plinth,1
plinth,NEG,1
NEG,offer,1
drop,death,4
drop,doves,4
drop,daughter,4
drop,digresses,4
drop,deer,4
death,doves,4
death,daughter,4
death,digresses,4
death,deer,4
doves,daughter,4
doves,digresses,4
doves,deer,4
daughter,digresses,4
daughter,deer,4
digresses,deer,4
fish,florentines,4
fish,fingers,4
fish,flames,4
fish,flutes,4
fish,offer,4
fish,profiles,4
florentines,fingers,4
florentines,flames,4
florentines,flutes,4
florentines,offer,4
florentines,profiles,4
fingers,flames,4
fingers,flutes,4
fingers,offer,4
fingers,profiles,4
flames,flutes,4
flames,offer,4
flames,profiles,4
flutes,offer,4
flutes,profiles,4
offer,profiles,4
posy,plinth,4
posy,hips,4
posy,profiles,4
posy,stripes,4
plinth,hips,4
plinth,profiles,4
plinth,stripes,4
hips,profiles,4
hips,stripes,4
profiles,stripes,4
heron,hips,4
heron,hung,4
heron,hidden,4
heron,hairs,4
hips,hung,4
hips,hidden,4
hips,hairs,4
hung,hidden,4
hung,hairs,4
hidden,hairs,4
cloud,carelessness,4
cloud,crawl,4
cloud,cold,4
carelessness,crawl,4
carelessness,cold,4
crawl,cold,4
