from,to,type
spilled,absence,1
absence,arrow,1
arrow,isolate,1
isolate,strawberry,1
strawberry,respires,1
respires,spinning,1
spinning,crystal,1
crystal,autumn,1
autumn,death,1
death,lip,1
lip,hail,1
hail,soft,1
soft,mirror,1
mirror,destroy,1
destroy,gaze,1
gaze,binds,1
binds,lies,1
lies,feather,1
feather,lip,1
lip,labyrinth,1
labyrinth,praise,1
praise,run,1
run,joined,1
joined,fountain,1
fountain,moistens,1
moistens,dream,1
dream,absence,2
absence,mirror,1
mirror,now,1
now,lock,1
lock,beach,1
beach,extends,1
extends,isolate,1
isolate,lock,1
lock,ask,1
ask,frolics,1
strawberry,spinning,4
strawberry,soft,4
strawberry,ask,4
strawberry,spilled,4
strawberry,crystal,4
strawberry,absence,4
strawberry,isolate,4
strawberry,respires,4
strawberry,moistens,4
strawberry,frolics,4
strawberry,extends,4
