from,to,type
vertical,marble,1
marble,NEG,1
NEG,see,1
see,forehead,1
forehead,open,1
open,moist,1
moist,lotus,1
lotus,endless,2
endless,shriek,1
shriek,grove,1
grove,open,1
open,irate,1
irate,redouble,1
redouble,arrow,1
arrow,death,1
death,Q,2
Q,cold,1
cold,gaze,1
gaze,NEG,1
NEG,rush,1
rush,royal,1
royal,heron,1
heron,cold,1
cold,so,1
so,weak,1
weak,west-wind,1
west-wind,cry,1
cry,aids,1
aids,flight,1
flight,sleep,1
sleep,cold,1
cold,flame,1
flame,sharpened,1
sharpened,tongue,1
flight,flame,4
marble,moist,4
rush,redouble,4
rush,royal,4
redouble,royal,4
weak,west-wind,4
