from,to,type
shriek,fruit,1
fruit,snow,1
snow,secret,1
secret,geranium,1
geranium,transform,1
transform,white,2
white,silk,1
silk,ascending,1
ascending,spilled,1
spilled,lip,1
lip,open,1
open,amnesia,1
amnesia,islands,1
islands,sword,1
sword,lashes,1
lashes,come,1
come,give way,1
give way,sleep,1
sleep,render,1
render,mirror,1
mirror,littoral,1
littoral,impure,1
impure,earth,1
earth,stone,1
stone,moist,2
moist,lip,1
lip,NEG,1
NEG,shell,1
shell,looks,1
looks,uncurving,1
uncurving,thread,1
thread,slaves,1
slaves,profile,1
profile,dry,1
dry,velamen,1
velamen,air,1
air,bit,1
bit,litmus,1
litmus,changes,1
changes,sound,1
sound,golden,1
golden,litmus,1
litmus,salty,1
salty,lime,1
lime,searches,1
searches,golden,1
golden,mirror,1
mirror,death,1
death,shell,1
shell,sound,1
sound,IF,2
IF,crosses,1
crosses,mirror,1
mirror,water,1
water,agitate,1
agitate,ear,1
ear,boil,1
boil,IF,2
IF,sits,1
sits,fringe,1
fringe,forehead,1
forehead,centurion,1
centurion,pulses,1
pulses,flank,1
flank,IF,2
IF,declaims,1
declaims,penetrate,1
penetrate,gaze,1
gaze,wrinkle,1
wrinkle,letters,1
letters,dream,1
dream,wave,2
wave,air,1
air,wraps,1
wraps,albino,1
albino,secret,1
secret,harpooned,1
harpooned,skin,1
skin,colored,1
colored,mirror,1
mirror,shadow,1
shadow,memory,1
memory,minute,1
minute,silence,1
silence,now,2
now,white,1
white,pierces,1
pierces,unbent,1
unbent,endless,1
endless,dry,1
dry,flames,1
flames,drizzled,1
drizzled,leaf,1
leaf,jet,2
jet,uncreated,1
uncreated,bee,1
bee,bite,1
bite,wake,1
wake,request,1
request,flank,1
flank,mirror,2
mirror,verified,1
verified,speechless,1
speechless,Narcissus,1
Narcissus,high,1
high,tide,1
tide,fled,1
fled,wingless,1

velamen,slaves,4
velamen,verified,4
slaves,verified,4


wrinkle,wraps,4
wrinkle,water,4
wrinkle,wingless,4
wrinkle,wave,4
wrinkle,snow,4
wrinkle,sword,4
wrinkle,now,4
wrinkle,wake,4
wrinkle,white,4
wrinkle,shadow,4

wraps,water,4
wraps,wingless,4
wraps,wave,4
wraps,snow,4
wraps,sword,4
wraps,now,4
wraps,wake,4
wraps,white,4
wraps,shadow,4

water,wingless,4
water,wave,4
water,snow,4
water,sword,4
water,now,4
water,wake,4
water,white,4
water,shadow,4

wingless,wave,4
wingless,snow,4
wingless,sword,4
wingless,now,4
wingless,wake,4
wingless,white,4
wingless,shadow,4

wave,snow,4
wave,sword,4
wave,now,4
wave,wake,4
wave,white,4
wave,shadow,4

snow,sword,4
snow,now,4
snow,wake,4
snow,white,4
snow,shadow,4

sword,now,4
sword,wake,4
sword,white,4
sword,shadow,4

now,wake,4
now,white,4
now,shadow,4

wake,white,4
wake,shadow,4

white,shadow,4

centurion,come,4
centurion,crosses,4
centurion,colored,4
centurion,uncurving,4
centurion,uncreated,4


come,crosses,4
come,colored,4
come,uncurving,4
come,uncreated,4

crosses,colored,4
crosses,uncurving,4
crosses,uncreated,4

colored,uncurving,4
colored,uncreated,4

uncurving,uncreated,4

litmus,lime,4
litmus,littoral,4
litmus,lashes,4
litmus,lip,4
litmus,looks,4
litmus,letters,4
litmus,islands,4
litmus,shell,4
litmus,velamen,4
litmus,endless,4
litmus,albino,4
litmus,spilled,4
litmus,silk,4
litmus,fled,4
litmus,leaf,4

lime,littoral,4
lime,lashes,4
lime,lip,4
lime,looks,4
lime,letters,4
lime,islands,4
lime,shell,4
lime,velamen,4
lime,endless,4
lime,albino,4
lime,spilled,4
lime,silk,4
lime,fled,4
lime,leaf,4

littoral,lashes,4
littoral,lip,4
littoral,looks,4
littoral,letters,4
littoral,islands,4
littoral,shell,4
littoral,velamen,4
littoral,endless,4
littoral,albino,4
littoral,spilled,4
littoral,silk,4
littoral,fled,4
littoral,leaf,4

lashes,lip,4
lashes,looks,4
lashes,letters,4
lashes,islands,4
lashes,shell,4
lashes,velamen,4
lashes,endless,4
lashes,albino,4
lashes,spilled,4
lashes,silk,4
lashes,fled,4
lashes,leaf,4

lip,looks,4
lip,letters,4
lip,islands,4
lip,shell,4
lip,velamen,4
lip,endless,4
lip,albino,4
lip,spilled,4
lip,silk,4
lip,fled,4
lip,leaf,4

looks,letters,4
looks,islands,4
looks,shell,4
looks,velamen,4
looks,endless,4
looks,albino,4
looks,spilled,4
looks,silk,4
looks,fled,4
looks,leaf,4

letters,islands,4
letters,shell,4
letters,velamen,4
letters,endless,4
letters,albino,4
letters,spilled,4
letters,silk,4
letters,fled,4
letters,leaf,4

islands,shell,4
islands,velamen,4
islands,endless,4
islands,albino,4
islands,spilled,4
islands,silk,4
islands,fled,4
islands,leaf,4

shell,velamen,4
shell,endless,4
shell,albino,4
shell,spilled,4
shell,silk,4
shell,fled,4
shell,leaf,4

velamen,endless,4
velamen,albino,4
velamen,spilled,4
velamen,silk,4
velamen,fled,4
velamen,leaf,4

endless,albino,4
endless,spilled,4
endless,silk,4
endless,fled,4
endless,leaf,4

albino,spilled,4
albino,silk,4
albino,fled,4
albino,leaf,4

spilled,silk,4
spilled,fled,4
spilled,leaf,4

silk,fled,4
silk,leaf,4

fled,leaf,4

geranium,give way,4
geranium,gaze,4
geranium,agitate,4
geranium,golden,4

give way,gaze,4
give way,agitate,4
give way,golden,4

gaze,agitate,4
gaze,golden,4

agitate,golden,4

fringe,flames,4
fringe,transform,4
fringe,fruit,4

flames,transform,4
flames,fruit,4

transform,fruit,4

ascending,amnesia,4
ascending,agitate,4
amnesia,agitate,4
