from,to,type
ascending,chest,1
chest,only,1
only,soft,1
soft,forgotten,1
forgotten,breath,1
breath,forgets,1
forgets,untangles,1
untangles,forgotten,2
forgotten,paper,1
paper,fresh,1
fresh,eyelet,1
eyelet,quickens,1
quickens,leaping,1
leaping,heart,1
heart,smile,1
smile,snail,1
snail,hand,2
hand,air,1
air,lines,1
lines,impulsed,1
impulsed,dry,1
dry,smile,1
smile,walking,1
walking,snow,1
snow,now,2
now,brought,1
brought,ear,1
ear,snail,1
snail,snail,1
snail,burying,1
burying,firm,1
firm,ear,1
ear,silk,1
silk,pool,1
brought,breath,4
brought,burying,4
breath,burying,4
silk,smile,4
silk,snow,4
silk,snail,4
silk,soft,4
smile,snow,4
smile,snail,4
smile,soft,4
snow,snail,4
snow,soft,4
snail,soft,4
forgotten,forgets,4
forgotten,fresh,4
forgotten,firm,4
forgotten,soft,4
forgets,fresh,4
forgets,firm,4
forgets,soft,4
fresh,firm,4
fresh,soft,4
firm,soft,4
paper,pool,4
heart,hand,4
