from,to,type
absolute,face,1
face,false,1
false,firmness,1
firmness,mirror,1
mirror,mirror,2
mirror,forgotten,1
forgotten,sound,1
sound,night,1
night,door,1
door,changeful,1
changeful,pontiff,1
pontiff,half-opens,1
half-opens,mask,1
mask,river,1
river,spigot-griffin,1
spigot-griffin,fin,1
fin,dream,1
dream,death,2
death,cold,1
cold,comet,1
comet,unearthed,1
unearthed,air,1
air,creates,1
creates,air,1
air,lies,1
lies,life,1
life,dragged,1
dragged,cloud,1
cloud,open,1
open,mouth,1
mouth,negated,1
negated,blood,1
blood,moved,1
