from,to,type
shriek,fruit,1
fruit,snow,1
snow,secret,1
secret,geranium,1
geranium,transform,1
transform,white,2
white,silk,1
silk,ascending,1
ascending,spilled,1
spilled,lip,1
lip,open,1
open,amnesia,1
amnesia,islands,1
islands,sword,1
sword,lashes,1
lashes,come,1
come,give way,1
give way,sleep,1
sleep,render,1
render,mirror,1
mirror,littoral,1
littoral,impure,1
impure,earth,1
earth,stone,1
stone,moist,2
moist,lip,1
lip,NEG,1
NEG,shell,1
shell,looks,1
looks,uncurving,1
uncurving,thread,1
thread,slaves,1
slaves,profile,1
profile,dry,1
dry,velamen,1
velamen,air,1
air,bit,1
bit,litmus,1
litmus,changes,1
changes,sound,1
sound,golden,1
golden,litmus,1
litmus,salty,1
salty,lime,1
lime,searches,1
searches,golden,1
golden,mirror,1
mirror,death,1
death,shell,1
shell,sound,1
sound,IF,2
IF,crosses,1
crosses,mirror,1
mirror,water,1
water,agitate,1
agitate,ear,1
ear,boil,1
boil,IF,2
IF,sits,1
sits,fringe,1
fringe,forehead,1
forehead,centurion,1
centurion,pulses,1
pulses,flank,1
flank,IF,2
IF,declaims,1
declaims,penetrate,1
penetrate,gaze,1
gaze,wrinkle,1
wrinkle,letters,1
letters,dream,1
dream,wave,2
wave,air,1
air,wraps,1
wraps,albino,1
albino,secret,1
secret,harpooned,1
harpooned,skin,1
skin,colored,1
colored,mirror,1
mirror,shadow,1
shadow,memory,1
memory,minute,1
minute,silence,1
silence,now,2
now,white,1
white,pierces,1
pierces,unbent,1
unbent,endless,1
endless,dry,1
dry,flames,1
flames,drizzled,1
drizzled,leaf,1
leaf,jet,2
jet,uncreated,1
uncreated,bee,1
bee,bite,1
bite,wake,1
wake,request,1
request,flank,1
flank,mirror,2
mirror,verified,1
verified,speechless,1
speechless,Narcissus,1
Narcissus,high,1
high,tide,1
tide,fled,1
fled,wingless,1
