from,to,type
yesterday,questions,1
questions,frolic,1
frolic,close,1
close,impulse,1
impulse,powdery,1
powdery,fruit,1
fruit,islands,1
islands,camp,1
camp,treasures,1
treasures,rage,1
rage,scatters,1
scatters,flatters,1
flatters,reprimands,1
reprimands,doncel,2
doncel,work,1
work,walnuts,1
walnuts,spurt,1
spurt,forehead,1
forehead,sound,1
sound,flame,1
flame,makes,1
makes,roots,1
roots,mansion,1
mansion,buried,1
buried,scream,1
scream,IF,2
IF,moves,1
moves,uncurving,1
uncurving,bee,1
bee,mirror,1
mirror,destroy,1
destroy,mute,1
mute,river,1
river,IF,2
IF,sinks,1
sinks,half-siren,1
half-siren,fire,1
fire,loose,1
loose,thread,1
thread,plough,1
plough,winter,1
winter,weave,1
weave,white,1
white,body,1
body,questions,1
questions,pulvereous,1
pulvereous,statue,1
