from,to,type
snow,sistrums,1
sistrums,NEG,1
NEG,penetrate,1
penetrate,argues,1
argues,leaf,1
leaf,uncurving,1
uncurving,destroy,1
destroy,glass,1
glass,ear,1
ear,white,1
white,nests,1
nests,center,1
center,now,1
now,burn,1
burn,tepid,1
tepid,coral,1
coral,escaped,1
escaped,doncel,1
doncel,deer,1
deer,tedium,1
tedium,rosed,1
rosed,forests,1
forests,transform,2
transform,IF,1
IF,coral,1
coral,doncel,1
doncel,curl,1
curl,voices,1
voices,snow,1
snow,paths,1
paths,sonorous,1
sonorous,body,1
body,rocks,1
rocks,pine,1
pine,slim,1
slim,nodding,1
nodding,forceful,2
forceful,pine,1
pine,now,1
now,column,1
column,smoke,1
smoke,so,1
so,water,1
water,canary,1
canary,needle,1
needle,jet,1
jet,uncurled,1
uncurled,wind,1
pine,tepid,4
pine,paths,4
pine,penetrate,4
pine,escaped,4
tepid,paths,4
tepid,penetrate,4
tepid,escaped,4
paths,penetrate,4
paths,escaped,4
penetrate,escaped,4
canary,center,4
canary,column,4
canary,uncurled,4
canary,coral,4
canary,curl,4
canary,uncurving,4
snow,sonorous,4
snow,sistrums,4
snow,slim,4
snow,so,4
snow,smoke,4
sonorous,sistrums,4
sonorous,slim,4
sonorous,so,4
sonorous,smoke,4
sistrums,slim,4
sistrums,so,4
sistrums,smoke,4
slim,so,4
slim,smoke,4
so,smoke,4

