from,to,type
ascending,chest,1
chest,only,1
only,soft,1
soft,forgotten,1
forgotten,breath,1
breath,forgets,1
forgets,untangles,1
untangles,forgotten,2
forgotten,paper,1
paper,fresh,1
fresh,eyelet,1
eyelet,quickens,1
quickens,leaping,1
leaping,heart,1
heart,smile,1
smile,snail,1
snail,hand,2
hand,air,1
air,lines,1
lines,impulsed,1
impulsed,dry,1
dry,smiles,1
smiles,walking,1
walking,snow,1
snow,now,2
now,brought,1
brought,ear,1
ear,snail,1
snail,snail,1
snail,burying,1
burying,firm,1
firm,ear,1
ear,silk,1
silk,pool,1
