from,to,type
body,sound,1
sound,swarm,1
swarm,mute,1
mute,pines,1
pines,clamor,1
clamor,waking,1
waking,breaking,1
breaking,wave,1
wave,smooth,1
smooth,blazes,1
blazes,sessile,1
sessile,flight,1
flight,guided,1
guided,dove,1
dove,shrieks,1
shrieks,NEG,1
NEG,eyes,1
eyes,NEG,1
NEG,carnation,1
carnation,forehead,1
forehead,mirror,1
mirror,wave,1
wave,NEG,1
NEG,memory,1
memory,come,2
come,reuniting,1
reuniting,eyes,1
eyes,spinning,1
spinning,carnation,1
carnation,NEG,1
NEG,always,1
always,burning,1
burning,abyss,1
abyss,alquitared,1
alquitared,snow,1
snow,groaning,1
groaning,bolstered,1
bolstered,sky,1
sky,steeds,2
steeds,IF,1
IF,snow,1
snow,IF,1
IF,pays,1
pays,guided,1
guided,gaze,1
gaze,distilled,1
distilled,plea,1
plea,more,1
more,firm,1
firm,recurve,1
recurve,first,1
first,muteness,1
muteness,already,1
already,NEG,1
NEG,sky,1
sessile,steeds,4
sessile,sky,4
sessile,shrieks,4
sessile,smooth,4
sessile,swarm,4
sessile,sound,4
sessile,spinning,4
sessile,abyss,4
sessile,snow,4
