from,to,type
hailstruck,lemonbalm,1
lemonbalm,river,1
river,frozen,1
frozen,velamen,1
velamen,guard,1
guard,signal,1
signal,withered,1
withered,leaf,1
leaf,gold,1
gold,lifted,1
lifted,spiral,1
spiral,autumn,1
autumn,water,1
water,so,1
so,boiling,1
boiling,docile,2
docile,ruby,1
ruby,keeps,1
keeps,sighing,1
sighing,flight,1
flight,now,1
now,ascending,1
ascending,now,2
now,autumn,1
autumn,run,1
run,islands,1
islands,uncared,1
uncared,garnished,1
garnished,islands,1
islands,isolate,1
isolate,dove,1
dove,mute,1
mute,between,1
between,two,1
two,buried,1
buried,leaf,1
leaf,river,2
river,sum,1
sum,eyes,1
eyes,announced,1
announced,weighs,1
weighs,moon,1
moon,back,1
back,breath,1
breath,halo,1
halo,transform,1
