from,to,type
body,sound,1
sound,swarm,1
swarm,mute,1
mute,pines,1
pines,clamor,1
clamor,waking,1
waking,breaking,1
breaking,wav,1
wav,smooth,1
smooth,blazes,1
blazes,sessile,1
sessile,flight,1
flight,guided,1
guided,dove,1
dove,shrieks,1
shrieks,eyes,1
eyes,carnation,1
carnation,forehead,1
forehead,mirror,1
mirror,wav,1
wav,NEG,1
NEG,memory,1
memory,come,2
come,reuniting,1
reuniting,eyes,1
eyes,spinning,1
spinning,carnation,1
carnation,NEG,1
NEG,forever,1
forever,burnt,1
burnt,abyss,1
abyss,alquitared,1
alquitared,snow,1
snow,groaning,1
groaning,bolstered,1
bolstered,sky,1
sky,steeds,2
steeds,IF,1
IF,snow,1
snow,IF,1
IF,pays,1
pays,guided,1
guided,gaze,1
gaze,distilled,1
distilled,plea,1
plea,more,1
more,firm,1
firm,recurve,1
recurve,first,1
first,muteness,1
muteness,already,1
already,sky,1
