from,to,type
ascending,chest,1
chest,only,1
only,soft,1
soft,forgotten,1
forgotten,breath,1
breath,forgets,1
forgets,untangles,1
untangles,forgotten,2
forgotten,paper,1
paper,fresh,1
fresh,eyelet,1
eyelet,quickens,1
quickens,leaping,1
leaping,heart,1
heart,smile,1
smile,snail,1
snail,hand,2
hand,air,1
air,lines,1
lines,impulsed,1
impulsed,dry,1
dry,smiles,1
smiles,walking,1
walking,snow,1
snow,now,2
now,brought,1
brought,ear,1
ear,snail,1
snail,snail,1
snail,burying,1
burying,firm,1
firm,ear,1
ear,silk,1
silk,pool,1
pool,hailstruck,2
hailstruck,lemonbalm,1
lemonbalm,rivers,1
rivers,frozen,1
frozen,velamen,1
velamen,guard,1
guard,signal,1
signal,withered,1
withered,leaf,1
leaf,gold,1
gold,levied,1
levied,spiral,1
spiral,autumn,1
autumn,water,1
water,so,1
so,boiling,1
boiling,docile,2
docile,ruby,1
ruby,keeps,1
keeps,sighing,1
sighing,flight,1
flight,now,1
now,ascending,1
ascending,now,2
now,autumn,1
autumn,runs,1
runs,islands,1
islands,uncared,1
uncared,garnished,1
garnished,islands,1
islands,isolated,1
isolated,dove,1
dove,mute,1
mute,between,1
between,two,1
two,buried,1
buried,leaf,1
leaf,river,2
river,sum,1
sum,eyes,1
eyes,announced,1
announced,weighs,1
weighs,moon,1
moon,backs,1
backs,breath,1
breath,halo,1
halo,transform,1
